Texto del tweet,Usuario,Fecha,id
"RT @ministeriosalud: [EN VIVO] Presidente @sebastianpinera, junto a ministros @jmanalich y @albertoespina, inspecciona operaciones de apoyo…",LazcanoMytzi,Sat Apr 11 03:18:35 +0000 2020,1248812663024562176
"@ministeriosalud @Salud_Responde Según un estudio, el coronavirus COVID-19 puede vivir hasta cinco semanas en los p… https://t.co/wZXzKqRQ5q",blabladeces,Sat Apr 11 03:19:04 +0000 2020,1248812783967318017
"@ministeriosalud Y de qué sirve el cordón sanitario, si de la RM salieron demasiadas personas  a sus segundas viviendas 🤦‍♀️🤦‍♀️",_sofiaguerrerob,Sat Apr 11 03:19:42 +0000 2020,1248812945032851456
"RT @ministeriosalud: 🏥Visita PAME Chillán:

- Será atendido por al menos 15 profesionales👨‍🔬👩‍🔬 con apoyo técnico logístico de 4 funcionari…",carolinanavaru,Sat Apr 11 03:21:05 +0000 2020,1248813293755674624
@ministeriosalud santa cruz,RamonGo69277627,Sat Apr 11 03:21:39 +0000 2020,1248813434248060928
"RT @ministeriosalud: Presidente @sebastianpinera | Aporte FFAA a #PlanCoronavirus 

- 41.000 efectivos disponibles 
- Aporte de camas para…",jtosoc,Sat Apr 11 03:25:58 +0000 2020,1248814522699255809
"RT @ministeriosalud: 📺AHORA | @meganoticiascl 

Subsecretaria de Salud Pública @pdazan es entrevistada por medidas implementadas en nuestro…",quimeras1313,Sat Apr 11 03:27:05 +0000 2020,1248814804808105986
"@ministeriosalud @Salud_Responde Tengo problemas respiratorios AHORA sin fiebre, con ahogos q mejoran o empeoran po… https://t.co/D5kJKi7mGZ",blabladeces,Sat Apr 11 03:27:40 +0000 2020,1248814949830361088
"RT @ministeriosalud: 📌Subsec @pdazan | ¿Cómo se Implementan cuarentenas?

- Se toman en base a evidencia científica
- Recomendaciones de ex…",quimeras1313,Sat Apr 11 03:27:42 +0000 2020,1248814956566532097
"RT @ministeriosalud: Subsecretaria @pdazan en @CHVNoticias - @CNNChile 

""Si los números (de casos) cambian, no tenga dudas en que se tomar…",quimeras1313,Sat Apr 11 03:28:01 +0000 2020,1248815039576002562
