Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@Surext_01,@mmanuel________ @MBuhari @GboyegaOyetola @NTANewsNow @SaharaReporters @osbcng @AIT_Online Done,2020-04-01 14:56:26,en,,0.0,0.0,@mmanuel________,TEMI LADE💎,Studied Hospitality Management | A Chef👩‍🍳,745.0,1173.0,176.0,92.0,0.0,False,,
@RosemaryOcheze,@T_chidi_esq @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct @henryshield @von_Bismack People that are mad,2020-04-01 14:56:23,en,,0.0,0.0,@T_chidi_esq,OCHE'ZE (Prof Amaa),"GENTLE yet FIERCE, POLITICAL die hard FAN,
IGBO with a current of YORUBA, 
Writing a 📖 on diverse religious beliefs.
ANTI-BUHARI 😊
ANTI-BUHARI 
ANTI-BUHARI",33118.0,31480.0,4309.0,4968.0,3.0,False,,
@AmanaVincent,@renoomokri @MBuhari This government will loots this money the same way they loots Abacha money,2020-04-01 14:56:15,en,,0.0,0.0,@renoomokri,Amana Vincent,There is hope for a tree that is cut down. Job 14:7,2872.0,505.0,215.0,39.0,0.0,False,,
@yamnana13,@jaznasnbc @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct You need a refund of school fees. Apologies to mathematics!,2020-04-01 14:56:11,en,,0.0,0.0,@jaznasnbc,Kandi Aminu Suleiman,"#Lecturer at Al Hikma Polytechnic, Nassarawa State.# politics #good governance# community volunteer# girl child education # Almajiri Education # sport # Books.",14467.0,6464.0,980.0,667.0,3.0,False,,
@Emayak1,@SympLySimi @MBuhari Should I give you light?,2020-04-01 14:56:11,en,,0.0,0.0,@SympLySimi,Emayak,Not your regular type ❤💝💕 I follow back ASAP,652.0,1441.0,278.0,278.0,0.0,False,,
@MehdiRizvi123,"...both of whom are suffering from an unprecedented number of health issues that have remained untreated and unattended.

Due to a determination by the regime of Heil! Major-General @MBuhari and his now Contagious Governor @elrufai and their army of undertakers",2020-04-01 14:56:06,en,,1.0,0.0,,Mehdi Rizvi,"Revolutionary | Human Rights Activist | Analyst | Observer |
Follower Of Ayatollah Khamenei 💙 🇾🇪🇵🇸🇱🇧🇸🇾🇮🇶🇮🇷🇮🇳",39011.0,16258.0,5002.0,2571.0,9.0,False,,
@Abdulmalick_007,"@SympLySimi @MBuhari We get light for my area o....in fact, very stable",2020-04-01 14:56:02,en,,0.0,0.0,@SympLySimi,ABDUL-MALIK🇳🇬🆒🎧⚽,#A.R.S.E.N.A.L   #M.E.S.S.I   #B.U.H.A.R.I,5158.0,39971.0,1812.0,853.0,1.0,False,,
@Drferrari07,@SucessTayo @josh_adedoyin @TheresaTekenah @Jhohel1 @MBuhari Do you have a country? What do you call a country? A country that failed to give you quality education? Read your tweet over again and prove me wrong,2020-04-01 14:56:00,en,US,0.0,0.0,@SucessTayo,Akinwole,"The man that fell, just to rise up taller than ever. Info Tech | Real Estate | Gracefully blessed!",13742.0,12090.0,1317.0,1199.0,7.0,False,,
@Femiano8,@renoomokri @MBuhari True,2020-04-01 14:55:50,en,,0.0,0.0,@renoomokri,Dada Femi,Loyalty personified,2.0,10.0,36.0,0.0,0.0,False,,
@ossycyndykate,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Federal Government should pay March salary as well. There are avalanche of individuals waiting on the government for March salary. This is not the time for showboating,2020-04-01 14:55:47,en,,0.0,0.0,@BashirAhmaad,RV. FR. V.A.R.,"I am like KFC, I don't do beef",2989.0,5361.0,1408.0,388.0,0.0,False,,
@smith_waya,"@BashirAhmaad @Almasmustapha @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Great job from federal government.
Hope this money was properly sanitized inorder to avoid spread of COVID-19 pandemic to citizens.",2020-04-01 14:55:45,en,,0.0,0.0,@BashirAhmaad,SmithWaya,#GodFirst #BetterNigeria #ActiveCitizen #Humanitarian #OGP,2640.0,3096.0,1289.0,363.0,0.0,False,,
@iamchildprodigy,"@BeautySIunit @SympLySimi @Kklazzique @MBuhari All round but still back to what she's saying, A failed system/government!",2020-04-01 14:55:42,en,,0.0,0.0,@BeautySIunit,Adegoke Adeola,"spoken word activist//
performance poet//
political analyst//
author who saw the dust of Buniyadi",141.0,297.0,52.0,43.0,0.0,False,,
@davidbince,"😢 😢 😢 
NIGERIA 🇳🇬 
@segalink @davidbince @NGRPresident @MBuhari @jidesanwoolu @NigeriaPhcn @IkejaElectric @EKEDP @NCDCgov @PeterPsquare @Imamofpeace 
#COVIDー19 #COVID19 #AprilFoolsDay #3MCOMBATSCOVID19 #Nigeria #April2020 #WednesdayMotivation #COVID #ASUU https://t.co/u9wrFyhAGm",2020-04-01 14:55:35,en,,0.0,0.0,,DAVID,⚽️⚽️⚽️ ADDICTS ||PLAYS ⚽ FOR ||@THEALPHASFC|| ||follows ||@krakstv|| DIE HARD FAN OF ||@ARSENAL|| ⚽️⚽️⚽️,3947.0,9268.0,8006.0,7504.0,1.0,False,,
@nanyachibor,"@giwa_abdulazeez @TosinOlugbenga @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct I know what you said
For the fact that they don't have makes giving to them valid.",2020-04-01 14:55:30,en,,0.0,0.0,@giwa_abdulazeez,NaNyA💛🌸,"A realist, Sociologist,love life and humanity.ladyprenuer, I make wig and     sell the best oil perfume.
Life is like a🎲",6557.0,3190.0,191.0,246.0,0.0,False,,
@DavidObulu,"@NGRPresident @MBuhari Yea
That same greatest weapon is what we will be eating. 
We don't need money, all we need is the greatest weapon😒😒😒",2020-04-01 14:55:28,en,,0.0,0.0,@NGRPresident,David Obulu,,4.0,0.0,0.0,0.0,0.0,False,,
@chimsidi,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct This guy u don't have shame at all how u tweeted such a thing! Educated person,oh gosh.",2020-04-01 14:55:23,en,,0.0,0.0,@BashirAhmaad,Chimsidi,"studied microbiology, and dental therapist",218.0,123.0,111.0,5.0,0.0,False,,
@Darkceaser87,@Ruma010 @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct What happened to delegating directors in the ministry to other states and posting these pictures simultaneously,2020-04-01 14:55:21,en,,0.0,0.0,@Ruma010,Darkceaser,"Crypto and gift cards plug| Guidance Counselor|
Barcelona fan|
Lover of christ|
Messi fan|
Urhobo boi|Foodie |420",34884.0,38134.0,4277.0,4368.0,2.0,False,,
@itz_elmagnifico,@jaznasnbc @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Bros ee be lyk say maths fail u for school,2020-04-01 14:55:19,en,GB,0.0,0.0,@jaznasnbc,Aayan of Ngwaland (MNIS),"Freelance Surveyor (cartography, photogrammetry, Hydrography, n Cadastral). we gods walking in manflesh. #LFC  #Lakeshow #MovieLuver.",3430.0,5838.0,2142.0,1706.0,0.0,False,,
@MartinAbah1,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Rubbish,2020-04-01 14:55:10,en,,0.0,0.0,@BashirAhmaad,Martin Abah,"An advocate of good governance, a medical professional and a lover of God",134.0,608.0,688.0,45.0,0.0,False,,
@Suleazy,@muhdMI20 @ELBINAWI @MBuhari @HQNigerianArmy @IntlCrimCourt 100% scam,2020-04-01 14:55:09,en,,0.0,0.0,@muhdMI20,Sulaiman babayo,"Human right Activists, freedom fighter and true nationalist",162.0,294.0,64.0,53.0,0.0,False,,
@Aramide32265573,@OyoyemiJ @SympLySimi @MBuhari Some pipu have gen buh hunger won't allow Dem buy fuel.,2020-04-01 14:55:07,en,,0.0,0.0,@OyoyemiJ,mind-ur-biz,,288.0,896.0,281.0,49.0,0.0,False,,
@ThelmaNonso,@renoomokri @MBuhari This is so thoughtful of you sir.,2020-04-01 14:55:03,en,,0.0,0.0,@renoomokri,Thelma Nonso,Official Twitter Account of Thelma Chinonso | God's Chaser | Simply Charming | Pro. Surveyor | Baker by Passion | Energetic | A Victor by Grace |,14.0,9.0,9.0,15.0,0.0,False,,
@IzugoLove,@Kempez2017 @PDPVanguard @MBuhari Can you imagine that sadistic statement?,2020-04-01 14:55:02,en,,0.0,0.0,@Kempez2017,Izugo Love Chuks,Love is King,483.0,14.0,185.0,11.0,0.0,False,,
@ImSirBosco1,@renoomokri @MBuhari Nice word boss,2020-04-01 14:54:53,en,,0.0,0.0,@renoomokri,Olalekan Dahunsi,"Graduate, Industrial Relations and Personnel Management. Godly,Visionary,Creative,Business minded and Responsible.",377.0,2104.0,981.0,85.0,0.0,False,,
@T_chidi_esq,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct We must seriously question the criteria and details used to pay this. Why  cash? What happened to transfers? Are they not supposed to be at home for the lock down? How where they mobilised this quickly? Yeye de smell of
@henryshield 
@von_Bismack 
@RosemaryOcheze",2020-04-01 14:54:50,en,,1.0,0.0,@BashirAhmaad,🅰🅱UJA LANDLORD🔥🔥Esq,"I am a thinker,a talker,ardent football fan,Chelsea FC representer,social equality activist,lover of our Lord Jesus Christ.....in the whole a fun loving lawyer",9822.0,2244.0,1073.0,309.0,0.0,False,,
@Highphy222,@BashirAhmaad @MBuhari @FMHDSD Have you seen any country behave this way??? What’s the usefulness of BVN abeg??,2020-04-01 14:54:44,en,,0.0,0.0,@BashirAhmaad,Ifedayo,Gentle and easy going,375.0,39.0,169.0,105.0,1.0,False,,
@SunnyObioha,"@BashirAhmaad @MBuhari @FMHDSD Please I suggest you announce date, time and venue of this exercise to the public, through print media, social media and electronic media. Let the vulnerable be aware of it. People are really suffering. Some can't even buy sachet water. We still have more days ahead.",2020-04-01 14:54:42,en,,0.0,0.0,@BashirAhmaad,sunny obioha,Born 29 Nov 1970,175.0,23.0,33.0,3.0,0.0,False,,
@Jaydee65134594,@ayemojubar @Tutsy22 @DoctorEmto @NCDCgov @dammyshaggs @Fmohnigeria @nighealthwatch Where is @MBuhari  to see what is happening,2020-04-01 14:54:41,en,,0.0,0.0,@ayemojubar,Jirehmoses,Am just jireh,1618.0,1883.0,783.0,170.0,0.0,False,,
@DicaDivine,@GuyAhmadi @channelstv @MobilePunch @NigeriaGov @GovWike @PremiumTimesng @IndependentNGR @937RhythmFm @TodayFM951 @NigeriaInfoPH Too bad.... @MBuhari @cbngov_akin1 @ZenithBank,2020-04-01 14:54:40,en,,0.0,0.0,@GuyAhmadi,DICA d BLAK guy,Sports Analyst TEAM DARLING 107.3FM Sports OWERRI |https://t.co/EsMu51Tey3 |https://t.co/q1EbxcsmTj| My Tweets are entirely Mine| +2348031977916 https://t.co/i2Ha8yY22X.,5765.0,3494.0,785.0,784.0,3.0,False,,
@asra_watch,@MaziAsochukwu @Nwachuk95982947 @HQNigerianArmy @MaziNnamdiKanu @MBuhari @realDonaldTrump @UN @PaulChibuzor4 What happened ? @UN @UNHumanRights @WHO,2020-04-01 14:54:37,en,,0.0,0.0,@MaziAsochukwu,AsraWatch,Bismillah,1236.0,284.0,295.0,16.0,0.0,False,,
@Ogbadoyi1,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct I hope it is clear to those from SS, SE, SW and MB who are Nigerians.
Keep killing yourself for one Nigeria!
Keep hoping in one Nigeria!
Keep daydreaming in one Nigeria shit hole",2020-04-01 14:54:35,en,,0.0,0.0,@BashirAhmaad,GOD'S SPOKESMAN 🇮🇱🇺🇸,I believe in spirituality. I hate injustice and bad leadership. #SpiritRules!!!,13689.0,9727.0,177.0,386.0,0.0,False,,
@JShittu_16,"@king_davidtee @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Why them spread money like cabin biscuit like this, Nigerian system will always be Nigerian system.",2020-04-01 14:54:30,en,,0.0,0.0,@king_davidtee,Igbayilola,,7380.0,2800.0,308.0,302.0,0.0,False,,
@GodstimeKonyeme,@renoomokri @MBuhari I concur,2020-04-01 14:54:24,en,,0.0,0.0,@renoomokri,Godstime Konyeme,,108.0,18.0,190.0,23.0,0.0,False,,
@LeeReky,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct When will there give the poor masses of cross river state,2020-04-01 14:54:14,en,,0.0,0.0,@BashirAhmaad,hungerforsuccess_RN,An activist/ an engineer/a motivational speaker/Gods own/,183.0,205.0,91.0,26.0,0.0,False,,
@iamstanlee,"@KabassaMohawk Ok my dear, please speak to @MBuhari make him give you my own share of the money dem dey share.🤣",2020-04-01 14:54:07,en,,0.0,0.0,@KabassaMohawk,Ebuka,"Christian, Legal Practitioner.",58727.0,217.0,509.0,1697.0,9.0,False,,
@Ruma010,@Darkceaser87 @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Charity begins at home na 😁what's your problem?,2020-04-01 14:53:57,en,NG,1.0,0.0,@Darkceaser87,Mukarram Ruma JERSEY 🔌,"Don't taken tweets to heart... I sell Jerseys & all kinds of LADIES UNDERWEARS...//...
Address::: Shop A19, MMK Plaza behind Mangal plaza Central Market Kaduna.",35227.0,80726.0,10402.0,11914.0,9.0,False,,
@Metibaba26,"@renoomokri What's the meaning of all this account number , go to @MBuhari Twitter page to do this now...",2020-04-01 14:53:56,en,,0.0,0.0,@renoomokri,Adebayo sunday,Sunday is a simple guy,339.0,743.0,409.0,49.0,0.0,False,,
@Noracreamy,@SympLySimi @MBuhari Enugu since yesterday morning,2020-04-01 14:53:54,en,,0.0,0.0,@SympLySimi,Nora😘,"Personal style blogger/stylist 👜🎒👖
Fashion influencer👗👙
Business minded💭
Gemini queen 👑👑
Music luver 🎧🎧
Football lover (Chelsea fan)",76.0,344.0,65.0,27.0,0.0,False,,
@Me2Handsome,@obyezeks @ProfOsinbajo If @MBuhari allows him,2020-04-01 14:53:51,en,,0.0,0.0,@obyezeks,MJseries,"An advocate for good governance, social critic,",410.0,218.0,86.0,20.0,0.0,False,,
@yusufhsani,"Thread:

Petri dish Detention.

From Mohammed Ibraheem Zakzaky @MIZakzaky

The world is gripped in the corona virus reality and the immense panic and disruption it brings along with it. 
#ZakzakyIsNotSafe

@MBuhari @elrufai @NigeriaGov @AmnestyNigeria @NGRWailers @hrw @GovKaduna https://t.co/qRRYsgV2k0",2020-04-01 14:53:46,en,,1.0,1.0,,#JusticeForAll,"Activist.


  I'm a Shia Muslim. 
 

©Industrial Chemist 



Our life seem to be lost in the struggle.
#FreeZakzaky No To Opression. #FreeDadiyata.",76140.0,10720.0,520.0,4352.0,8.0,False,,
@Ogbadoyi1,"I told you people that the money @MBuhari @NigeriaGov @NGRPresident want to share is for Northerners. Here you are!

Those of us that have BVN are big men children. https://t.co/5Jw33Yib2K",2020-04-01 14:53:38,en,,0.0,0.0,,GOD'S SPOKESMAN 🇮🇱🇺🇸,I believe in spirituality. I hate injustice and bad leadership. #SpiritRules!!!,13689.0,9727.0,177.0,386.0,0.0,False,,
@akoguntaryour,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Are we okay in this country???????,2020-04-01 14:53:33,en,,0.0,0.0,@BashirAhmaad,iKing’s Technologies,Laptops & Phone Sales & Repair * Laptop computer & Phone Accessories * iPhone and Android Phones Sales* Diagnostics & Support,5931.0,3502.0,1714.0,474.0,0.0,False,,
@Kempez2017,"@IzugoLove @PDPVanguard @MBuhari ""... flagged off... "" Beside, you can relocate to Kwali if you're among the poorest and so anxious to get yours.",2020-04-01 14:53:31,en,,0.0,0.0,@IzugoLove,Musa Ahmed💭,A Patriotic Nigerian | An advocate Of Good Governance | A Nigerian That Loves Anything Nigeria | Nigeria First| #EndAlmajiranciNow| #TeamArsenal,10347.0,3615.0,315.0,1867.0,1.0,False,,
@abiola_yusufff,"@SympLySimi @MBuhari Thanks and God bless you
UBA 2044312921 Ajadi Yusuf Abiola",2020-04-01 14:53:30,in,,0.0,0.0,@SympLySimi,abiola_yusufff,Property consultant at Manor Realtors....,166.0,119.0,286.0,22.0,0.0,False,,
@Ahmadk34,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Pls can you go to the northern part of Nigeria an see the subject’s over their, those who doesn’t have food for today and tomorrow. You can advise mr.president since you are close to him please 🙏",2020-04-01 14:53:26,en,NG,0.0,0.0,@BashirAhmaad,Ahmad kurfi,"Locally made person from kurfi☝️And am proud to be from their🙏 And proudly from the famous,mighty family of “GARABI”.$$$$ Alhmdlh for everything Allah🙏",361.0,1005.0,192.0,61.0,0.0,False,,
@FreakyC4,"@MBuhari ,@ProfOsinbajo ,@renoomokri ,@AsiwajuTinubu @WHO  Nigerians are hungry, Nigerian are going thru things, Pls do something before it gets out of hands ,your government may not be able to contain what will happen soon . https://t.co/Z8XHcuJIYI",2020-04-01 14:53:24,en,NG,0.0,0.0,@MBuhari,Armstrong Chuks E.,Farmer,5322.0,15055.0,1150.0,475.0,0.0,False,,
@giwa_abdulazeez,"@nanyachibor @TosinOlugbenga @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct I didn't say there weren't poor people.

I said *poorest of the poor*",2020-04-01 14:53:20,en,,0.0,0.0,@nanyachibor,giwa.ao💦,"Data Analyst (R, Python), Bioinformatics, Genetics, Usability Enthusiast",36402.0,31293.0,2004.0,734.0,3.0,False,,
@Highphy222,@BashirAhmaad @MBuhari @FMHDSD Now I believe Nigeria is a joke 😂😂😂,2020-04-01 14:53:16,en,,0.0,0.0,@BashirAhmaad,Ifedayo,Gentle and easy going,375.0,39.0,169.0,105.0,1.0,False,,
@IamKnyght,"@BashirAhmaad @Bollux_official @FMHDSD @Sadiya_farouq @MBuhari @HUPcct I'm kinda wondering.... What's the modality for determining 'the most poorest'...?

By the way, did I just repeat that nonsense... Poorest nje poorest. Ewo tun ni most poorest?

God epp us ooooo",2020-04-01 14:53:16,en,,1.0,0.0,@BashirAhmaad,#Project200 #SQimageHub #FinestBoyOnRadio,"SocialChangeAgent
Graphic Artist
Creative Director: SQimageHub
OAP
Director: GluTV
VoiceOver Artiste
+2348101500086",1777.0,323.0,112.0,166.0,0.0,False,,
@_Olubanke,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Lol and this makes sense to you. Wow, I'm flabberwhelmed🤦🏽",2020-04-01 14:53:14,en,,0.0,0.0,@BashirAhmaad,Olúbánkẹ́,"❤
🇳🇬
🇳🇿",42.0,190.0,51.0,17.0,0.0,False,,
@KJideofor,Good day mr president we need food. I can’t travel because of the lockdown. @MBuhari,2020-04-01 14:53:12,en,,0.0,0.0,,Maxy,Lawyer Artist Entertainer Model💯,237.0,88.0,647.0,78.0,0.0,False,,
@ChizobaJuliet14,"@renoomokri @MBuhari Sir. Reno!
You have no equal! 
I stan ✊✊",2020-04-01 14:53:08,en,,0.0,0.0,@renoomokri,Chizoba Juliet,"too conscious of other people, love seeing a great movie and comfortable and beautiful wears😘. 31 Oct... the Scorpio Queen 😉🦀💐🌻. Gunners 4 life",1807.0,4908.0,712.0,282.0,0.0,False,,
@Walex5476,"@BashirAhmaad @MBuhari @FMHDSD I can really see how funny this gvt is. Kwali is Nigeria now abi? Besides,how do u knw d poorest in Nigeria y most widow are in villages? God will judge oooooo",2020-04-01 14:53:07,en,,0.0,0.0,@BashirAhmaad,Ayantola Adewale,,383.0,237.0,327.0,40.0,0.0,False,,
@readione18,@SympLySimi @MBuhari Bcos our demo is crazy menh,2020-04-01 14:52:59,en,,0.0,0.0,@SympLySimi,corperate collector,"ambassador for happiness, need one hit me up 😎  by following",5775.0,19997.0,2546.0,2616.0,3.0,False,,
@Maziokafor20,@renoomokri @MBuhari Nigerians will rush and withdraw their money. The thing is just complicated,2020-04-01 14:52:58,en,,0.0,0.0,@renoomokri,Mazi Okafor,Am an Introvert,1244.0,2413.0,241.0,102.0,0.0,False,,
@Tulan09514031,Ogun kill u and this thing way u tweet https://t.co/O70kaWHSyU,2020-04-01 14:52:53,en,,0.0,0.0,,pidgin any how,"Love football 
Love celebrities 
Love music 
Love ma country 🇳🇬
Love ma self",616.0,2261.0,517.0,170.0,0.0,False,,
@Masterlacruz,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct This is totally wrong process to disburse the fund,2020-04-01 14:52:42,en,,0.0,0.0,@BashirAhmaad,CBNfx,"mentorship/signal provider
forex/Cryptos/indices
# creativity, with passion, so much love and care for my dear frnds # buk product i rep fgc kn",14764.0,22210.0,1683.0,1137.0,4.0,False,,
@angelofphysics,@EfebehF @MBuhari Na so na... Nnamdi Kanu go soon give directives to Ipobians,2020-04-01 14:52:34,tl,,0.0,0.0,@EfebehF,Fake Ijaw Boy,Scientist without Borders,3223.0,150.0,265.0,200.0,0.0,False,,
@boriong,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct All of them with hijab..... Supporting Islam we know..... Continue,2020-04-01 14:52:33,en,,0.0,0.0,@BashirAhmaad,ell hakim,,409.0,127.0,2160.0,288.0,1.0,False,,
@Autan_Babanta,@ameenparees @Donhot2 @elrufai @GovKaduna @MBuhari @NGRPresident @BashirAhmaad @Aasajoh @M_Serlees @Safreenarrhh @abdulmajidiya @Ladyposhhhhh @Fatymukaila @__bilqeesa @Zeeenarhg @mr_motion01 You don dey shiver,2020-04-01 14:52:30,en,,0.0,0.0,@ameenparees,Precious ❤️🍯,High Budget Cardi B #in Islam I found peace ❤️,6039.0,17470.0,3871.0,11395.0,3.0,False,,
@kehindeoladipo3,@haiamkophee @Eebrokaka01 @yungchief8 @jshow6 @Ojemoa2 @Pearlmeggie_ @BashirAhmaad @MBuhari 🤣😂🤣😂🤣 resetting of life.... osheee,2020-04-01 14:52:27,en,,1.0,0.0,@haiamkophee,kehinde oladipo,professional Nail-technician /Nail coach kennysnailbar .... plot 14b Adebayo Doherty opposite Lupees supermarket Lekki phase 1... Email: kenny2g.ok@gmail.com,264.0,638.0,399.0,273.0,0.0,False,,
@Tulan09514031,@MBuhari u know say u be bastard sha,2020-04-01 14:52:23,en,,0.0,0.0,@MBuhari,pidgin any how,"Love football 
Love celebrities 
Love music 
Love ma country 🇳🇬
Love ma self",616.0,2261.0,517.0,170.0,0.0,False,,
@insley1929,@AOlufade @alabedeEmma @BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Which brings us to bank Transfer. Poor isn’t written on the face. But this government won’t Cos they lack ideas.,2020-04-01 14:52:22,en,,1.0,0.0,@AOlufade,insley,,740.0,200.0,670.0,78.0,0.0,False,,
@BieGabbie,@SympLySimi @MBuhari Simi you just read our minds.... God bless you.....,2020-04-01 14:52:08,en,,0.0,0.0,@SympLySimi,Gabbie Bie,Pisces bi***h,5.0,0.0,36.0,2.0,0.0,False,,
@Aor_Elijah,@nancyilloh @MBuhari @ProfOsinbajo  As a failed and careless admin. I opines it's better these billionaires donating money to FG should have a thought of distributing the funds to the citizenry's accounts. Because to federal government is like invading #hungervirus,2020-04-01 14:52:06,en,,0.0,0.0,@nancyilloh,Aor Avakaa Elijah,"Confidential Secretary General National Association Of Masev Students (former).
MD/CEO Rufitex and veronix vast services.",18.0,28.0,119.0,7.0,0.0,False,,
@toptex247,"@renoomokri @MBuhari Billions being donated left and right to fight Covid-19 that has No cure yet, but No Billions to tackle unemployment, No Billion to build World Class Hospital in Nigeria.Billionaires only show off  when you r sick but less concern about your well-being after.",2020-04-01 14:52:02,en,,0.0,0.0,@renoomokri,TemiTope,,490.0,54.0,84.0,22.0,0.0,False,,
@ShogbesanAbdul2,@SympLySimi @MBuhari I wonder ooo... Thanks for bringing this up,2020-04-01 14:52:01,en,,0.0,0.0,@SympLySimi,Shogbesan Abdulbasit Ayoade,Cool,2.0,4.0,12.0,0.0,0.0,False,,
