Tweets,ID,Date,Source,Likes,RTs
"🚨 @DirOPSPAHO insta a acelerar y ampliar las pruebas para la #COVID19 en las Américas 🌎 
+ info 👉… https://t.co/BnVpAtKF81",https://twitter.com/opsoms/status/1252723712991932416,2020-04-21 22:19:42,Twitter Web App,30,13
"RT @ONU_es: La ONU trabaja incansablemente para ayudar a los países a enfrentar la crisis del #coronavirus, apoyando desde el aprendizaje a…",https://twitter.com/opsoms/status/1252720975210299393,2020-04-21 22:08:49,Twitter for iPhone,0,87
"RT @OPSOMSMexico: Prepárate. Infórmate sobre #COVID19 a través de fuentes confiables.

#OnuMxCOVID19 
#SaludParaTodos https://t.co/CBfANCrp…",https://twitter.com/opsoms/status/1252720672645812229,2020-04-21 22:07:37,Twitter for iPhone,0,15
"RT @opsomsels: #COVID19: Una llamada puede alegrarle el día a alguien😊

👉#Recuerda el distanciamiento físico no es aislamiento social https…",https://twitter.com/opsoms/status/1252720647584788481,2020-04-21 22:07:31,Twitter for iPhone,0,23
"RT @OPSGuate: #COVID19 La cuarentena puede conducir a la soledad, especialmente para las personas mayores y las que viven solas.
 
Manténga…",https://twitter.com/opsoms/status/1252720632405647360,2020-04-21 22:07:27,Twitter for iPhone,0,11
"RT @OPSGuate: El ejercicio ayuda a los niños con mucha energía (y a los adultos) a desestresarse cuando están en casa.

¡Deje que su hijo e…",https://twitter.com/opsoms/status/1252720619545919488,2020-04-21 22:07:24,Twitter for iPhone,0,6
"RT @Ops_Paraguay: 🚨Camilleros 
🧑‍⚕️👩‍⚕️Enfermeras/os; 
👩‍⚕️🧑‍⚕️Médicos/as; 
🧑‍⚕️👩‍⚕️Intensivistas; 
🙋‍♀️🙋Responsables de la lavandería;…",https://twitter.com/opsoms/status/1252720609664159744,2020-04-21 22:07:22,Twitter for iPhone,0,14
"RT @Ops_Paraguay: 👩‍⚕️🧑‍⚕️🧑‍🦰👩‍🦰👩‍🔬🧑‍🔬👩‍🍳🧑‍🍳🙋🙋‍♀️🚨
Trabajadores/as de la salud: necesitamos que te cuides para seguir cuidando ❣️

#COVID19…",https://twitter.com/opsoms/status/1252720584577945601,2020-04-21 22:07:16,Twitter for iPhone,0,4
"RT @OPASOMSBrasil: Assista à sessão informativa da OPAS/OMS sobre a situação da #COVID19 nas Américas 👇🏿

https://t.co/QtN6DfEmvp",https://twitter.com/opsoms/status/1252720564109705217,2020-04-21 22:07:11,Twitter for iPhone,0,4
"RT @OPSOMS_Col: Es distanciamiento físico no aislamiento social. 

Mantente en contacto con tus compañeros a través de conversaciones en lí…",https://twitter.com/opsoms/status/1252720543578689536,2020-04-21 22:07:06,Twitter for iPhone,0,21
