Tweets,ID,Date,Source,Likes,RTs
"RT @ministeriosalud: #CuidémonosEntreTodos y en especial si tienes un familiar en tu hogar diagnosticado con #COVID_19.

Conoce los consejo…",https://twitter.com/SuperDeSalud/status/1251145564248367111,2020-04-17 13:48:42,Twitter Web App,0,13
"RT @Cenabast: Más de un millón de pacientes crónicos se verán beneficiados del retiro anticipado de medicamentos por hasta 3 meses, lo que…",https://twitter.com/SuperDeSalud/status/1251142411817848835,2020-04-17 13:36:10,Twitter Web App,0,22
"""Vamos a monitorear las tasas de rechazo de las Isapres para descartar que haya alguna instrucción o medida interna… https://t.co/oz3AGC8QHt",https://twitter.com/SuperDeSalud/status/1251135797190897665,2020-04-17 13:09:53,Twitter Web App,0,0
"""Por lo mismo, es inaceptable que las Isapres estuvieran rechazando licencias; no actuaron conforme a la situación""… https://t.co/ijv4Jyo3BE",https://twitter.com/SuperDeSalud/status/1251135795295068161,2020-04-17 13:09:53,Twitter Web App,0,0
"En la edición impresa de @ElMercurio_cl el Superintendente, Patricio Fernández, señaló que ""las licencias con diagn… https://t.co/zVDQoKQRlg",https://twitter.com/SuperDeSalud/status/1251135792040247298,2020-04-17 13:09:52,Twitter Web App,0,1
"RT @ministeriosalud: AHORA: Subsec @pdazan hace el llamado a respetar la medida de uso obligatorio de mascarilla en recintos cerrados, que…",https://twitter.com/SuperDeSalud/status/1251124686064357376,2020-04-17 12:25:44,Twitter Web App,0,49
"RT @ministeriosalud: Inicio de uso obligatorio de mascarillas | ¿En qué lugares?

Conoce más sobre esta nueva medida que comienza a impleme…",https://twitter.com/SuperDeSalud/status/1251119998619324416,2020-04-17 12:07:07,Twitter Web App,0,251
"RT @ministeriosalud: #CuidémonosEntreTodos: A partir de mañana, viernes 17 de abril, se ampliará el uso obligatorio de mascarillas.

Si no…",https://twitter.com/SuperDeSalud/status/1250936031630761988,2020-04-16 23:56:05,Twitter for iPhone,0,97
"[IMPORTANTE]
¿Sabes a qué comunas se les levanta la cuarentena, cuáles la mantienen y cuáles se suman? 🤔… https://t.co/YqjYsIyDCb",https://twitter.com/SuperDeSalud/status/1250912141999308801,2020-04-16 22:21:10,Twitter for iPhone,2,2
"RT @ministeriosalud: Subsec @pdazan | Licencias Médicas

""La @SuperDeSalud emitió una solución y será resuelto"".

""Esta resolución permite…",https://twitter.com/SuperDeSalud/status/1250895531230052353,2020-04-16 21:15:09,Twitter for iPhone,0,6
