Tweets,ID,Date,Source,Likes,RTs
RT @ministeriosalud: Subsecretaria @pdazan: “todas las semanas se toman las medidas y si es necesario se evalúan cierres de nuevas comunas…,https://twitter.com/ispch/status/1251897824171745282,2020-04-19 15:37:55,Twitter for iPhone,0,8
"RT @ministeriosalud: Subsecretaria @pdazan hace llamado a seguir con las medidas de prevención y respetar las cuarentenas.
De forma paulati…",https://twitter.com/ispch/status/1251897809915260930,2020-04-19 15:37:51,Twitter for iPhone,0,31
"RT @ministeriosalud: Subsecretaria @pdazan | Exámenes #COVID_19 
-400 exámenes diarios 
-Positividad del 8%
-Más de 50 laboratorios de todo…",https://twitter.com/ispch/status/1251897799752536065,2020-04-19 15:37:49,Twitter for iPhone,0,31
"RT @ministeriosalud: Subsecretaria @pdazan | Reporte diario #COVID_19
-358 casos nuevos
-10.088 casos totales
-7 personas fallecidas (133 e…",https://twitter.com/ispch/status/1251897788079788035,2020-04-19 15:37:46,Twitter for iPhone,0,97
RT @ministeriosalud: [EN VIVO] Subsecretaria @pdazan entrega balance diario de #COVID_19 en nuestro país. https://t.co/29fl6gzZMQ,https://twitter.com/ispch/status/1251897773366087680,2020-04-19 15:37:42,Twitter for iPhone,0,99
"Donar sangre es donar vida.
Si vas a salir, haz que valga la pena. Si tu comuna está en cuarentena puedes pedir tu… https://t.co/Ee12wVPhKH",https://twitter.com/ispch/status/1251888286278258689,2020-04-19 15:00:01,TweetDeck,1,2
"Si estás en aislamiento domiciliario, es muy importante mantener las medidas de prevención en el hogar.

- Lávate l… https://t.co/2nuW2lIAqv",https://twitter.com/ispch/status/1251873184187465728,2020-04-19 14:00:00,TweetDeck,2,4
"El uso correcto de la mascarilla es clave para proteger tu salud y la de los demás. 

¿Cómo usarla y retirarla? Sig… https://t.co/rqCNm8WoJb",https://twitter.com/ispch/status/1251858085754187777,2020-04-19 13:00:00,TweetDeck,1,1
"Si tienes a un miembro del hogar diagnosticado con COVID 19, es muy importante que adoptes las siguientes medidas:… https://t.co/QUzUbue8SK",https://twitter.com/ispch/status/1251842986088030208,2020-04-19 12:00:00,TweetDeck,3,1
"RT @ministeriosalud: ¿Sabes qué es una Residencia Sanitaria?
El subsecretario @arturozunigaj nos cuenta todo sobre ellas.
Dale▶️ al video y…",https://twitter.com/ispch/status/1251713405515444225,2020-04-19 03:25:06,Twitter for iPhone,0,47
