pos,neg,neu,compound,Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
continuous,continuous,continuous,continuous,discrete,string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous
,,,,class,meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
0.13,0.0,0.87,0.4585,@Mzr_islem,@Massimo90735932 @Kessunberber @epsilonov71 @Idir31813318 @BentBladi0 @ZuhirBenslama @mustang_texas @djebarak @doulnoun @samah10102584 @dzmohammed39 @Sanstort1964 @AmirDjaouadi @aissamraghibi3 @timetwopanic6 @zeerzidane @TamaraTamara142 @MBuhari None control Chaos.,2020-04-02 00:44:07,es,,0.0,0.0,@Massimo90735932,Islem Mezouar,"I get up in the morning and, I go to bed at night. In between, I occupy myself as best I can. ♤",7197.0,10884.0,1829.0,417.0,1.0,False,,
0.031,0.099,0.871,-0.4404,@BoroBenBoro,@APCNigeria @MBuhari @nemanigeria Majority of Nigerians are yet to understand the criteria used to identify the so-called vulnerable in the country. So many people are languishing in lack and want as the govt placed everyone on quarantine. #HungerInTheLand #COVID19Nigeria #SelectBVN,2020-04-02 00:44:05,en,,0.0,0.0,@APCNigeria,Sir Boro Justus,"Businessman, Public Speaker, Care giver.... My opinions are unarguably mine",1285.0,2085.0,235.0,86.0,0.0,False,,
0.0,0.0,1.0,0.0,@UchennaJr75,@ElvisChinedu12 @MaziNnamdiKanu @MBuhari 09075945156,2020-04-02 00:43:31,und,,0.0,0.0,@ElvisChinedu12,Uchenna Okpala1,everything that life has to offer,78.0,77.0,943.0,53.0,0.0,False,,
0.323,0.0,0.677,0.7346,@smartdeckk,"@renoomokri @MBuhari I will be very glad receiving it ..
Thanks

Kelvin ojirinnaka  6234000950  fidelity bank",2020-04-02 00:43:30,en,,0.0,0.0,@renoomokri,@smartdeck,Fun maker,87.0,51.0,816.0,85.0,0.0,False,,
0.167,0.0,0.833,0.4588,@Adeyemiblues4,@AbbaKiski @NCDCgov @foundation_ma @Fmohnigeria @FMICNigeria @Sadiya_farouq @nigerianports @LSMOH @DrEOEhanire @AfricaCDC @nighealthwatch @EpidAlert @WHONigeria @MBuhari Welcome brother,2020-04-02 00:43:30,en,,0.0,0.0,@AbbaKiski,Abdullahi Adeyemi,"Am an easy going Guy, Calm and Cool Type. who Loved meeting new friends.
Am also a Blue fans 💙💙💙 Chelseafc for Life.",679.0,1727.0,3406.0,583.0,0.0,False,,
0.277,0.0,0.723,0.3182,@UchennaJr75,@ElvisChinedu12 @MaziNnamdiKanu @MBuhari Please I need the audio,2020-04-02 00:43:04,en,,0.0,0.0,@ElvisChinedu12,Uchenna Okpala1,everything that life has to offer,78.0,77.0,943.0,53.0,0.0,False,,
0.0,0.333,0.667,-0.6124,@Chimexi_42,@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct @BrooklynHenry11 see this fraudsters,2020-04-02 00:42:26,en,,0.0,0.0,@BashirAhmaad,Chima Chidera Okoro,Front end Developer || Data Scientist || I tweet for Fun || Radical @ChelseaFc Fan,8430.0,43351.0,2038.0,1092.0,2.0,False,,
0.0,0.116,0.884,-0.6351,@ElihezarD,"@SympLySimi @MBuhari Since I was born, having gone to and lived in a lot of Nigerian cities I have never seen constant light!!
If only it is possible to ban using of generators by politicians 🤣🤣🤣",2020-04-02 00:42:02,en,,0.0,0.0,@SympLySimi,Elihezar Daniels,a pragmatic optimist,28.0,91.0,104.0,9.0,0.0,False,,
