screen_name,name,twitter_id,description,year,month,date,time,tweet_id,tweet.text
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,27,13.52,1243536325300695040,b'Nuevamente @jmanalich err\xc3\xb3 en sus proyecciones. Los contagios vuelven a subir y el gobierno sigue movi\xc3\xa9ndose detr\xc3\xa1s\xe2\x80\xa6 https://t.co/USkgy4GUHO'
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,27,13.21,1243528650655293442,"b'David Carroll, acad\xc3\xa9mico que denunci\xc3\xb3 el esc\xc3\xa1ndalo de Cambridge Analytica, es uno de los invitados del curso en l\xc3\xadn\xe2\x80\xa6 https://t.co/BdO00HXRbe'"
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,27,12.31,1243516014995869699,b'Es una verg\xc3\xbcenza lo que ha hecho @sebastianpinera a trav\xc3\xa9s de la Direcci\xc3\xb3n del trabajo. Quieren que esta crisis la\xe2\x80\xa6 https://t.co/p5aZ6e9wR4'
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,27,11.33,1243501484228124672,b'y nunca dijeron la verdad #renunciama\xc3\xb1alich https://t.co/7GbsO8HODB'
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,26,23.28,1243319006758608896,b'@Jazminlagos25 Claro que si. Le dejo el link... https://t.co/uDPqePTg3L un abrazo!'
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,26,23.21,1243317298527711232,b'Comparto material de nuestro centro de la mujer de Recoleta para enfrentar   Violencia contra la mujer en el contex\xe2\x80\xa6 https://t.co/pe9qERshAH'
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,26,22.3,1243297489467379713,"b'@tibu43975074 @Dariooh esa deuda es ilegitima, venga al municipio con los antecedentes por favor'"
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,26,21.35,1243290427870056450,b'Este gobierno claramente esta mas preocupado de la salud de algunas empresas que de la salud de las personas\xe2\x80\xa6 https://t.co/7rdAWzPVLk'
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,26,20.56,1243280813086695424,b'@HectorGonzlalez @Dariooh DM'
danieljadue,Daniel Jadue #YoApruebo,146542753,"b'Alcalde de la comuna de Recoleta, Arquitecto y Soci\xc3\xb3logo.'",2020,3,26,19.36,1243260505252298752,"b'@Dariooh si, no tiene que pagar.  Estacionar en Recoleta es gratis'"
