tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_favorite_count,tweet_coordinates,tweet_lang,tweet_place,tweet_retweet_count,tweet_retweeted,tweet_truncated,name,screen_name,location,user_id,statuses_count,followers_count,friends_count,favourites_count,description
Wed Apr 08 23:47:21 +0000 2020,1248034730097938434,Android 17 will definitely be in the Anime version of the Moro saga as proven in the manga #DragonBallSuper https://t.co/7mceZB16or,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,James Reilly,JRStartoonist92,,1080028727545720832,519,26,81,10877,"Cartoonist, Writer, Gamer, Fan of Pop Culture Instagram: jamesreillystartoonist DeviantArt: JamesStarToonist"
Wed Apr 08 23:47:22 +0000 2020,1248034731708633088,@promofiverrgigs https://t.co/AxFnxEVdTR,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,und,,0,False,False,NY,hania_yk,,878018511930621952,636,11,196,5,"Mrs Yousaf Khan👫
Mom of 1 cutie pie *Hania Yousaf Khan* 👪"
Wed Apr 08 23:47:24 +0000 2020,1248034743842635777,@Mr_Nyanis @1daavi Boss how am I seing twitter for samsung galaxy and not android ? Abi samsung don scam me ?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,Protect_ya_neck🌹,_Tifannnny,"Abuja, Nigeria",1095960359079497730,1432,135,229,1808,Love making friends || Relationship therapist || Ambitious || Medical student || A vibe || 👅💦 || @fcbarcelona
Wed Apr 08 23:47:31 +0000 2020,1248034771739049987,@promofiverrgigs https://t.co/qw5uaUsH2o,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,und,,0,False,False,NY,hania_yk,,878018511930621952,637,11,196,5,"Mrs Yousaf Khan👫
Mom of 1 cutie pie *Hania Yousaf Khan* 👪"
Wed Apr 08 23:47:33 +0000 2020,1248034779112460288,Androidアプリ 子供向け乗り物図鑑は、図書館で車の絵本ばかり読まれるお子様には特に喜んでもらえます。https://t.co/iIQEnPLaKs,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",0,,ja,,0,False,False,子供向け乗り物図鑑,kodomozukan4u,,633635575,48647,282,1031,18,子供向け乗り物図鑑は、Androidアプリで0-4歳までを対象とした乗り物図鑑アプリで厳選された86枚以上のかわいいイラストの乗り物の写真や動画を楽しめます。
Wed Apr 08 23:47:33 +0000 2020,1248034778630111233,Happy birthday android 17 !!! 😚💛 @Railleysalazar https://t.co/bF36x8tybp,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,Dos,Lararivera1219,1 Corinthians 13:4,1218262618747523072,1880,257,201,3101,better than before
Wed Apr 08 23:47:35 +0000 2020,1248034788356829187,Sent from my android,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,m*rgaret,margzone,"Brooklyn, NY",19203946,106149,1153,740,228034,This one’s for all my girls who dropped their sims in the pool and took out the ladder and left them to drown. No this isn’t margaret from work
Wed Apr 08 23:47:37 +0000 2020,1248034795809984513,I made a new google android email today ; still I found electricity bill is not the culprit ; the culprit is mainte… https://t.co/EZU77QGivW,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,True,"Dr. Pankaj Budhiraja MBBS , MBA",goodprimarycare,"Gurgaon, India",1236103921380147200,532,55,1131,301,"I am an ECFMG certified doctor ; recently I completed my post graduate diploma in clinical research . I am also, a board certified holistic health practitioner."
Wed Apr 08 23:47:41 +0000 2020,1248034811228217344,@pomusara0719 Androidは時間かかるみたいです,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,ja,,0,False,False,下痢,geridesuyo,,3033376735,9337,511,511,2085,#ブロスタ 下痢 姫の名 サブリーダー 最多20k(2019.8月時点) コロナにつき、クソリプ自粛中 #あつ森 名前は汚いですが荒らしはしません。
Wed Apr 08 23:47:44 +0000 2020,1248034825010896896,@BitLifeApp @Zeeal4 Is this coming on Android,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,iamjaydensmall,iamjaydensmall,,1234502546519183362,32,2,39,165,"HEY GUYS! My name is Jayden, I love music Specifically @NICKIMINAJ so if u can relate give a me follow"
Wed Apr 08 23:47:45 +0000 2020,1248034828680704001,ようこそ、人生“最期”の 謎解きへ。 【誰ソ彼ホテル】  [Android]https://t.co/joKP8Q0dNK  [iOS]https://t.co/EitTUF7nxh https://t.co/wrbCe4x8Bj,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,から@ネップリ4/15まで,kararui0805,,1160872592036646913,3519,2223,203,8341,18↓ 文スト(猟犬、五i衰、旧ﾇﾇ黒、鏡i花ちゃん)と第5人格、鬼滅の刃(無一郎くん、義勇さん)を主に描いています。お別れはブロ解でお願いします！＜(_ _)＞転載使用禁止。創作垢→@sajikagen0805
